year,Country,mean,min,max
1980,Afghanistan,14.887333333333332,0.533,27.457
1980,Africa,24.44666666666667,21.039,26.08
1980,Albania,12.162083333333335,1.704,22.06
1980,Algeria,23.16016666666667,11.111,33.355
1980,American Samoa,26.990750000000002,26.394,27.737
1980,Andorra,10.7725,2.583,20.322
1980,Angola,22.077583333333337,18.421,23.817
1980,Anguilla,27.25208333333333,25.188000000000002,28.699
1980,Antarctica,5.179666666666666,1.727,9.111
1980,Antigua And Barbuda,27.118416666666665,25.103,28.396
1980,Argentina,15.226916666666668,7.532,22.248
1980,Armenia,9.358583333333334,-5.278,23.771
1980,Aruba,28.62691666666667,26.851,30.046
1980,Asia,7.709166666666666,-7.539,21.445999999999998
1980,Australia,22.586166666666667,14.526,28.353
1980,Austria,5.633583333333334,-5.463,16.082
1980,Azerbaijan,11.801,-1.68,25.478
1980,Bahamas,25.50825,20.964,28.699
1980,Bahrain,26.557333333333332,15.838,35.448
1980,Baker Island,25.770333333333337,25.307,26.342
1980,Bangladesh,25.340666666666667,18.263,28.966
1980,Barbados,27.14725,25.882,28.085
1980,Belarus,4.997166666666667,-9.064,17.217
1980,Belgium,9.297333333333334,0.237,17.602
1980,Belize,25.672916666666662,21.765,28.915
1980,Benin,27.564333333333327,25.053,30.822
1980,Bhutan,12.231583333333335,3.487,18.41
1980,Bolivia,21.034083333333335,17.731,23.079
1980,"Bonaire, Saint Eustatius And Saba",27.84841666666667,26.182,29.145
1980,Bosnia and Herz.,9.789666666666667,-1.243,20.014
1980,Botswana,21.845916666666668,14.287,26.49
1980,Brazil,25.148,23.861,25.96
1980,British Virgin Islands,26.990000000000006,25.006,28.492
1980,Bulgaria,10.03725,-2.888,20.849
1980,Burkina Faso,28.766833333333338,24.552,32.801
1980,Burundi,20.577,19.961,21.628
1980,Cambodia,27.207083333333333,25.061,29.738
1980,Cameroon,24.76875,23.375,26.648
1980,Canada,-4.416916666666666,-22.857,12.639
1980,Cape Verde,24.733249999999998,22.468,27.36
1980,Cayman Islands,27.145250000000004,23.980999999999998,29.336
1980,Central African Rep.,25.786499999999993,24.032,27.837
1980,Chad,27.480500000000003,21.536,32.17
1980,Chile,9.90375,5.219,14.649000000000001
1980,China,6.9500833333333345,-8.221,19.859
1980,Christmas Island,26.131833333333336,25.413,27.183
